,country,gini10,dem_level4,dem_rank14,dem_score14,lifeex_f,lifeex_m,literacy,oil,pop_0_14,pop_15_64,pop_65_older,fertility,govregrel,regionun,religoin,spendeduc,spendhealth,spendmil,hdi,pop_age,sexratio,pop_total,pop_urban,gender_unequal,gender_unequal_rank,arda,lifeex_total,debt,colony,confidence,decent08,dem_other,dem_other5,democ,democ11,democ_regime,democ_regime08,district_size3,durable,effectiveness,enpp3_democ,enpp3_democ08,dnpp_3,eu,fhrate04_rev,fhrate08_rev,frac_eth,frac_eth2,frac_eth3,free_business,free_corrupt,free_finance,free_fiscal,free_govspend,free_invest,free_labor,free_monetary,free_property,free_trade,free_overall,free_overall_4,gdp08,gdp_10_thou,gdp_cap2,gdp_cap3,gdpcap2_08,gdpcap3_08,gdpcap08_2,gdppcap08,gdppcap08_3,gender_equal3,gini04,gini08,hi_gdp,indy,muslim,natcode,oecd,pmat12_3,polity,pr_sys,protact3,regime_type3,rich_democ,unions,unnetgro,unnetuse,unpovnpl,unremitp,unremitt,vi_rel3,votevap00s,votevap90s,women05,women09,women13,ipu_wom13_all,womyear,womyear2,dem_economist,democ.yes,country1
11,Bangladesh,31,Hybrid,85,5.78,71.65,67.93,47.9,5733,34.3,61.1,4.7,2.6,6.111,Asia,Muslim,2.4,1.1,1,0.469,24.5,103.6,164.4,28.1,0.734,116,19,69.75,39.3,Other,71.64438937,No local elections,58.3,Approx 60%,No,6,Yes,No,single member,9,34.04255387,1-3 parties,NA,1,Not member,4,6,0.045400001,Low,Low,59.4,21,20,72.8,93.9,45,53.8,66.6,20,58,51.1,Low,213.5,0.0351,Low,Low,Low,Low,Low,1334,1,Low,31.8,33.4,Low GDP,1971,Yes,bangladesh,Not member,Low post-mat,5,No,High,Parliamentary democ,0,4.300000191,456,0.3,40,56,11.3,>50%,NA,63.04807281,2,18.6,NA,19.7,1972,After 1944,0,100,Bangladesh
12,Belarus,28.8,Authoritarian,125,3.69,77.18,65.57,99.6,31400,14.2,71.7,14.1,1.26,7.778,Europe,Orthodox Christian,5.2,4.9,1.5,0.732,38.2,106.1,9.6,74.7,NA,NA,21,71.2,NA,Soviet Union,15.64570518,No local elections,63,Approx 60%,No,0,No,No,single member,4,22.2222229,NA,NA,NA,Not member,1.5,1,0.3222,Low,Medium,72.1,20,10,85.2,32,20,84.8,62.6,20,80.3,48.7,Low,118.7,0.1441,Low,Middle,High,Mid,High,12261,2,NA,30.4,29.7,Low GDP,1991,No,belarus,Not member,Low post-mat,-7,No,Moderate,Dictatorship,0,96.09999847,1553,32.1,17.4,46,0.7,<20%,NA,64.44707489,NA,NA,NA,26.6,1919,1944 or before,0,0,Belarus
13,Belgium,33,Part Democ,26,7.93,82.81,76.35,99,11220,15.9,66.1,18,1.65,0.833,Europe,Catholic,6.1,7,1.2,0.867,41.3,104.8,10.7,97.4,0.236,6,22,79.51,98.6,Netherlands,43.31516215,NA,100,100%,Yes,8,Yes,Yes,6 or more members,55,90.30732917,6-11 parties,6-11 parties,3,EU Member state,7,12,0.555400014,High,Medium,92.9,73,70,42.2,30,80,67.1,77.9,80,87.5,70.1,High,369.2,2.3749,High,High,High,High,High,34493,3,High,25,33,High GDP,1830,No,belgium,OECD Member state,High post-mat,8,Yes,High,Parliamentary democ,1,38.09999847,142,68.1,NA,973,2.1,20-50%,86,82.43292236,34.7,35.3,38,38,1919,1944 or before,1,100,Belgium
14,Benin,38.6,Hybrid,90,5.65,61.14,58.61,34.7,0,44.7,52.6,2.7,5.31,0,Africa,Catholic,3.6,2.5,1.1,0.435,18.4,103.8,9.2,42,0.759,127,24,59.84,NA,France,NA,Legislature and executive are locally elected,40.8,Approx 40%,Yes,7,Yes,Yes,>1 to 5 members,9,31.9148935,6-11 parties,6-11 parties,3,Not member,6,10,0.787199974,High,High,42.3,31,50,75.9,85.2,60,47.8,74.6,30,57,55.4,MidLow,12.7,0.0411,Low,Low,Low,Low,Low,1468,1,NA,NA,36.5,Low GDP,1960,No,benin,Not member,NA,7,Yes,NA,Presidential democ,0,NA,967,1.8,39,31,4.1,NA,61.83,63.98082733,7.2,10.8,8.4,8.4,1956,After 1944,0,100,Benin
15,Bhutan,38.7,Hybrid,102,4.87,68.19,66.46,47,0,28.9,65.3,5.7,2.2,4.167,Asia,Buddhist,5.1,3.3,NA,NA,24.2,103,0.7,34.7,NA,NA,26,67.3,57.8,Other,NA,NA,58.3,Approx 60%,Yes,3,No,Yes,single member,93,68.55791979,NA,NA,NA,Not member,2.5,5,0.605000019,High,High,60.5,52,30,84.1,58.3,15,85.1,73.4,60,52,57,MidLow,3.3,0.0695,Low,Low,Low,Mid,Low,4755,2,NA,NA,NA,Low GDP,1949,No,bhutan,Not member,NA,3,No,NA,Dictatorship,0,NA,1900,6.6,NA,NA,NA,NA,NA,NA,NA,NA,8.5,8.5,1953,After 1944,0,0,Bhutan
16,Bolivia,57.2,Hybrid,83,5.79,70.42,64.84,86.7,43740,34.6,60.7,4.6,3,0,Latin America/Caribbean,Catholic,6.3,3.4,1.5,0.643,21.9,104.1,10,66.6,0.672,96,27,67.57,39.7,Spain,NA,Legislature and executive are locally elected,87.5,Approx 90%,Yes,7,Yes,Yes,NA,18,34.04255387,6-11 parties,6-11 parties,3,Not member,5,8,0.739600003,High,High,57.3,30,50,84.3,67.5,15,39.4,63.2,10,76.9,49.4,Low,41.4,0.0886,Low,Middle,Low,Low,Low,4278,2,Medium,44.7,60.1,Low GDP,1825,No,bolivia,Not member,NA,7,No,NA,Presidential democ,0,16.39999962,775,10.8,37.7,118,6.9,NA,63.44,56.14592743,19.2,16.9,25.4,25.4,1938,1944 or before,0,100,Bolivia
17,Bosnia and Herzegovina,36.3,Hybrid,103,4.78,82.63,75.25,96.7,NA,14,71,15,1.27,0.556,Europe,Muslim,NA,5.6,1.4,0.71,39.3,106.7,3.8,48.6,NA,NA,28,78.81,39,Soviet Union,70.20413621,Legislature and executive are locally elected,63,Approx 60%,No,NA,No,No,6 or more members,0,25.29550884,NA,NA,1,Not member,4.5,7,0.629999995,High,High,61.3,32,60,83.2,28.8,70,61.2,74.7,10,80.8,56.2,MidLow,31.7,0.1362,Low,Middle,High,Mid,High,8390,2,NA,26.2,26.2,Low GDP,1992,Yes,bosnia & herzegovina,Not member,Low post-mat,NA,Yes,Moderate,Dictatorship,0,NA,3169,34.7,19.5,725,14.8,20-50%,NA,59.6702919,NA,NA,NA,21.4,NA,NA,0,0,Bosnia and Herzegovina
18,Botswana,61,Part Democ,28,7.87,57.3,58.78,81.2,0,33.9,62.2,3.9,2.5,0,Africa,Other Christian,8.1,4.3,2.7,0.633,22.8,101.8,2,61.1,0.663,91,29,58.05,22.6,UK,NA,Legislature is elected but executive is appointed,40.8,Approx 40%,No,8,No,No,single member,34,67.13948002,NA,NA,1,Not member,6,10,0.4102,Low,Medium,70.5,58,70,74.1,67.1,80,70.8,68.8,70,73.9,70.3,High,25.5,0.308,High,Middle,High,Mid,High,13392,2,Medium,63,60.5,High GDP,1966,No,botswana,Not member,NA,8,No,NA,Dictatorship,0,11.5,140,6.2,NA,59,0.9,NA,44,44.63160706,NA,NA,NA,7.9,1965,After 1944,1,0,Botswana
19,Brazil,55,Part Democ,44,7.38,76.27,68.97,88.6,2572000,26.2,67,6.7,2.18,0.833,Latin America/Caribbean,Catholic,5.2,3.5,1.5,0.699,29,104.2,195.4,86.5,0.631,80,31,72.53,60.8,Portugal,32.50133714,Legislature and executive are locally elected,87.5,Approx 90%,Yes,8,Yes,Yes,6 or more members,15,41.37115842,6-11 parties,6-11 parties,3,Not member,5.5,10,0.540799975,High,Medium,54.5,35,50,68.4,50.3,45,57.5,75.8,50,69.2,55.6,MidLow,2000,0.2593,High,Middle,High,Mid,High,10296,2,NA,59.1,57,High GDP,1822,No,brazil,Not member,Moderate post-mat,8,Yes,High,Presidential democ,1,32.09999847,1341,37.5,21.5,27,0.3,>50%,83.54,74.70610809,8.6,9,8.6,8.6,1934,1944 or before,1,100,Brazil
20,Bulgaria,29.2,Part Democ,55,6.73,77.41,69.99,98.2,3227,13.9,67.9,18.2,1.42,5.278,Europe,Orthodox Christian,4.1,4.2,2.4,0.743,41.7,105.7,7.5,71.5,0.399,36,35,73.59,16.2,Soviet Union,38.97600605,Legislature and executive are locally elected,63,Approx 60%,Yes,9,Yes,Yes,6 or more members,10,45.15366433,4-5 parties,4-5 parties,2,Not member,6.5,10,0.402099997,Low,Medium,77.8,36,60,86.3,48.3,50,78.1,69.5,30,87.4,62.3,MidHi,94.5,0.1944,High,Middle,High,Mid,High,12393,2,NA,31.9,29.2,High GDP,1991,No,bulgaria,Not member,Low post-mat,9,Yes,Low,Parliamentary democ,1,51.40000153,517,34.7,12.8,346,5.3,<20%,62.41,74.16665649,26.3,20.8,22.9,22.9,1944,1944 or before,1,100,Bulgaria
21,Burkina Faso,39.6,Hybrid,114,4.09,55.71,51.75,21.8,0,45.8,51.7,2.5,6.14,0.833,Africa,Muslim,4.6,3.4,1.4,0.305,16.7,103.8,16.3,25.7,NA,NA,36,53.7,NA,France,NA,Legislature is elected but executive is appointed,40.8,Approx 40%,No,2,No,No,>1 to 5 members,20,30.26004734,NA,NA,1,Not member,3.5,6,0.737699986,High,High,60,35,50,80.4,80,50,64.4,73,30,71.3,59.4,MidHi,17.7,0.0264,Low,Low,Low,Low,Low,1161,1,NA,48.2,39.5,Low GDP,1960,Yes,burkina faso,Not member,NA,0,Yes,NA,Dictatorship,0,NA,1456,0.9,46.4,4,0.6,NA,NA,30.15396881,NA,NA,NA,15.7,1958,After 1944,0,0,Burkina Faso
22,Burma (Myanmar),NA,Authoritarian,141,3.05,67.33,62.57,89.9,18880,27.5,67.5,5,2.26,8.611,Asia,Buddhist,1.3,0.2,NA,0.451,27.9,101.2,50.5,33.7,NA,NA,37,64.88,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,32,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Burma (Myanmar)
23,Burundi,33.3,Authoritarian,134,3.33,60.52,57.09,59.3,0,46,51.6,2.5,6.16,0,Africa,Catholic,7.2,5.2,4,0.282,20.3,100.9,8.5,11,0.627,79,38,58.78,NA,Belgium,NA,Legislature and executive are locally elected,40.8,Approx 40%,Yes,7,No,Yes,NA,2,12.05673669,NA,1-3 parties,1,Not member,3,5,0.295100003,Low,Medium,37.8,19,30,72.2,42.7,50,66.9,62.7,25,68.6,47.5,Low,3.1,0.0102,Low,Low,Low,Low,Low,383,1,NA,33.3,42.4,Low GDP,1962,No,burundi,Not member,NA,6,Yes,NA,Dictatorship,0,NA,1200,0.8,NA,0,0.3,NA,NA,77.77366638,NA,NA,30.5,30.5,1961,After 1944,0,0,Burundi
24,Cambodia,44.2,Hybrid,103,4.78,65.13,60.31,73.6,0,32.2,64.1,3.8,2.84,3.889,Asia,Buddhist,1.6,1.7,1.1,0.494,22.3,104.1,15.1,20.1,0.672,95,39,62.67,NA,France,NA,NA,58.3,Approx 60%,No,3,No,No,6 or more members,2,33.33333328,NA,NA,1,Not member,2.5,3,0.210500002,Low,Low,39.9,18,50,91,92.9,60,43.6,70.5,30,70,56.6,MidLow,28,0.0321,Low,Low,Low,Low,Low,1905,1,Low,40.4,41.7,Low GDP,1953,No,cambodia,Not member,NA,2,Yes,NA,Dictatorship,0,NA,1133,0.5,30.1,22,3.1,NA,NA,90.49938202,NA,NA,NA,20.3,1955,After 1944,0,0,Cambodia
25,Cameroon,44.6,Authoritarian,130,3.41,55.28,53.52,67.9,77310,40.5,56.2,3.3,4.17,0.833,Africa,Other,2.9,1.3,1.5,0.46,19.2,101.6,20,58.4,0.763,129,40,54.39,9.6,France,NA,NA,40.8,Approx 40%,No,1,No,No,NA,8,31.9148935,NA,NA,1,Not member,2,2,0.863499999,High,High,37.2,23,50,71.8,92.7,35,52.2,71.9,30,59.7,52.3,MidLow,41.9,0.0575,Low,Low,Low,Low,Low,2215,1,NA,44.6,44.6,Low GDP,1960,No,cameroon,Not member,NA,-4,No,NA,Dictatorship,0,14.69999981,1712,3.8,39.9,8,0.6,NA,NA,48.70609283,NA,NA,NA,13.9,1946,After 1944,0,0,Cameroon
26,Canada,32.6,Full Democ,7,9.08,84.1,78.81,99,3289000,15.7,68.5,15.9,1.58,1.389,USA/Canada,Catholic,4.9,7.1,1.3,0.888,39.9,105.1,33.9,80.6,0.289,16,41,81.38,34,UK,58.20387138,Legislature and executive are locally elected,100,100%,Yes,10,Yes,Yes,single member,112,91.01654835,4-5 parties,4-5 parties,2,Not member,7,12,0.712400019,High,High,96.5,87,80,76.7,54.1,75,81.5,75.4,90,88.1,80.4,High,1200,2.2777,High,High,High,High,High,36444,3,High,33.1,32.6,High GDP,1867,No,canada,OECD Member state,High post-mat,10,No,High,Parliamentary democ,1,31,94,75.3,NA,NA,NA,20-50%,53.59,60.05192184,21.1,22.1,24.7,24.7,1917,1944 or before,1,100,Canada
27,Cape Verde,50.4,Part Democ,31,7.81,72.96,68.51,76.6,0,32.6,61.9,5.5,2.49,0,Africa,Catholic,5.7,3.4,0.5,0.534,21.3,101.6,0.5,61.1,NA,NA,42,70.7,NA,Portugal,NA,NA,40.8,Approx 40%,Yes,10,Yes,Yes,NA,NA,41.84397156,1-3 parties,1-3 parties,1,Not member,7,12,0.417400002,Low,Medium,63.3,51,60,65.6,65.3,60,48.1,74.5,65,65.5,61.8,MidHi,1.7,0.1345,Low,Middle,Low,Mid,Low,3504,1,NA,NA,NA,Low GDP,1975,No,cape verde,Not member,NA,10,Yes,NA,Parliamentary democ,0,16.89999962,1185,20.6,NA,311,9.7,NA,79.98,75.61657715,11.1,18.1,20.8,20.8,1975,After 1944,1,100,Cape Verde
28,Central African Republic,43.6,Authoritarian,166,1.49,51.35,48.84,48.6,0,41,55.3,3.7,4.63,3.889,Africa,Other Christian,1.3,1.4,1.6,0.315,19.5,100,4.5,38.9,0.768,132,44,50.07,NA,France,NA,No local elections,40.8,Approx 40%,No,NA,Yes,No,single member,7,12.76595869,6-11 parties,NA,3,Not member,2.5,4,0.82950002,High,High,37.5,20,30,65.5,94.1,40,50.7,68.3,20,58.1,48.4,Low,3.3,0.0274,Low,Low,Low,Low,Low,736,1,NA,61.3,61.3,Low GDP,1960,No,central african republic,Not member,NA,NA,No,NA,NA,0,NA,850,0.4,NA,NA,NA,NA,NA,50.28069687,NA,10.5,NA,12.5,1986,After 1944,0,100,Central African Republic
29,Chad,39.8,Authoritarian,165,1.5,49.43,47.28,25.7,115000,46,51,2.9,5.05,6.389,Africa,Muslim,1.9,2.7,6.6,0.295,17.1,101,11.5,27.6,NA,NA,45,48.33,NA,France,NA,No local elections,40.8,Approx 40%,No,1,No,No,single member,8,28.84160757,NA,NA,2,Not member,2.5,1,0.861999989,High,High,32.7,16,40,50.5,89.2,45,46.9,76.7,20,58.4,47.5,Low,16.1,0.024,Low,Low,Low,Low,Low,1455,1,NA,NA,NA,Low GDP,1960,Yes,chad,Not member,NA,-2,No,NA,Dictatorship,0,NA,4233,1.2,NA,NA,NA,NA,NA,68.98632813,NA,NA,NA,14.9,1958,After 1944,0,0,Chad
30,Chile,52,Part Democ,32,7.8,81.13,74.44,95.7,10850,22.3,68.1,9.6,1.88,0,Latin America/Caribbean,Catholic,3.4,3.7,3.5,0.783,32.1,103.8,17.1,89,0.505,53,47,77.7,6.2,Spain,58.36849508,Legislature is elected but executive is appointed,87.5,Approx 90%,Yes,10,Yes,Yes,>1 to 5 members,11,74.70449308,6-11 parties,6-11 parties,3,Not member,7,12,0.186100006,Low,Low,64.8,69,70,77.5,89.6,80,75.4,73,85,88,77.2,High,242.4,0.4115,High,High,High,High,High,14465,3,Low,57.1,54.9,High GDP,1810,No,chile,Not member,High post-mat,10,Yes,Moderate,Presidential democ,1,15.89999962,113,32.5,NA,0,0,20-50%,66.49,81.69021606,12.5,15,14.2,14.2,1931,1944 or before,1,100,Chile
31,China,41.5,Authoritarian,144,3,76.94,72.68,91.6,3991000,17.6,73.6,8.9,1.54,9.167,Asia,Buddhist,1.9,1.9,2,0.663,34.2,121.2,1354.1,47,0.405,38,52,74.68,17.5,none,73.78881441,Legislature and executive are locally elected,58.3,Approx 60%,No,0,No,No,NA,51,50.82742334,NA,NA,NA,Not member,1.5,1,0.153799996,Low,Low,49.7,36,30,70.2,88.1,20,53.2,70.6,20,72.2,51,Low,7900,0.0989,Low,Middle,Low,Mid,Low,5962,2,NA,44.7,46.9,Low GDP,NA,No,china,Not member,Low post-mat,-7,No,Low,Dictatorship,0,54.70000076,1233,22.5,2.8,37,1.1,<20%,NA,NA,NA,NA,NA,21.3,1949,After 1944,0,0,China
32,Colombia,58.5,Part Democ,62,6.55,78.03,71.27,90.4,785000,26.7,67.2,6.1,2.15,2.222,Latin America/Caribbean,Catholic,3.9,5.1,3.7,0.689,26.8,104.3,46.3,75.1,0.658,90,55,74.55,44.8,France,NA,Legislature and executive are locally elected,87.5,Approx 90%,Yes,7,Yes,Yes,>1 to 5 members,43,37.3522462,1-3 parties,1-3 parties,1,Not member,4,7,0.601400018,High,High,83.6,38,60,74.3,74.8,55,72.7,74,50,72.5,65.5,MidHi,395.7,0.185,Low,Middle,High,Mid,High,8885,2,Medium,57.6,58.6,Low GDP,1810,No,colombia,Not member,NA,7,Yes,Moderate,Presidential democ,0,7,1874,38.5,45.1,109,2,>50%,NA,35.722229,12,8.4,12.1,12.1,1954,After 1944,1,100,Colombia
33,Comoros,64.3,Authoritarian,127,3.52,66.72,61.76,56.5,0,41.6,55.3,3.1,4.72,9.444,Africa,Muslim,7.6,1.9,NA,0.428,21.1,103.4,0.7,28.2,NA,NA,56,64.2,NA,France,NA,NA,40.8,Approx 40%,Yes,9,No,Yes,single member,0,26.71394861,NA,NA,NA,Not member,4,7,0,Low,Low,43.7,25,20,65,85.1,10,31.4,76.4,30,62.4,44.9,Low,0.8,0.0437,Low,Low,Low,Low,Low,1169,1,NA,NA,NA,Low GDP,1975,Yes,comoros,Not member,NA,9,No,NA,Dictatorship,0,NA,1441,3.6,NA,22,2.3,NA,NA,66.6510849,NA,NA,3,3,1956,After 1944,0,0,Comoros
