"country","democ_status","gini10","lifeex_f","pop_15_64","literacy","oil","fertility","spendhealth","spendmil","sexratio","pop_urban","gdp08","ipu_wom13_all","free_corrupt"
"Mauritania",0,39,63.41,56.2,51.2,16510,4.3,1.6,3.7,106.3,41.4,6.2,22.1,28
"Mauritius",1,35.9,78.12,70.7,84.4,0,1.79,2,0.2,103.7,41.8,15.3,18.8,55
"Mexico",1,51.6,79.43,65.2,86.1,3001000,2.29,2.7,0.5,104.3,77.8,1500,36.8,36
"Moldova",1,37.4,75.28,74,99.1,0,1.29,5.2,0.6,105.8,47,10.6,19.8,29
"Morocco",0,40.9,79.11,66.1,52.3,4053,2.21,1.7,3.4,103.7,58.2,137,17,35
"Mozambique",0,47.1,52.57,51.1,47.8,0,5.46,3.5,0.8,101.3,38.4,18.6,39.2,26
"Namibia",0,74.3,51.89,61.7,85,0,2.49,3.2,3.5,101.3,38,13.4,24.4,45
"Nepal",1,47.3,67.44,61.1,48.6,0,2.47,2,2,105.2,18.6,31.8,33.2,27
"Netherlands",1,30.9,82.44,67.4,99,57190,1.66,7.3,1.4,105.2,82.9,671.7,38.7,89
"New Zealand",1,36.2,82.67,66.4,99,61150,2.08,7.1,1.1,105.8,86.2,115.4,32.2,93
"Nicaragua",1,52.3,74.09,63.8,67.5,0,2.12,4.5,0.7,104.3,57.3,15.2,40.2,25
"Nigeria",1,42.9,48.41,55.9,68,2211000,4.73,1.7,0.8,102.6,49.8,315,6.7,27
"Norway",1,25.8,83.02,66,100,2350000,1.77,7.5,1.3,105.4,79.4,277.3,39.6,79
"Pakistan",1,31.2,67.9,60.4,49.9,59140,3.17,0.8,2.6,105.8,35.9,439,22.5,25
"Panama",1,54.9,80.68,64.2,91.9,0,2.45,4.3,0,104.5,74.8,42.4,8.5,34
"Papua New Guinea",1,50.9,68.56,60,57.3,35090,3.46,2.6,0.4,107.8,12.5,14.2,2.7,20
"Paraguay",1,53.2,78.93,65.4,94,30.96,2.11,2.4,0.8,103.9,61.5,29.3,12.5,24
"Peru",1,50.5,74.48,65.1,92.9,157200,2.32,2.5,1.1,104.2,76.9,245.3,21.5,36
"Philippines",1,44,74.74,61.1,92.6,9671,3.19,1.3,0.8,105,48.9,317.1,22.9,23
"Poland",1,34.9,80.25,71.6,99.8,34140,1.3,4.6,2,105.7,61,671.9,23.7,46
"Portugal",1,38.5,82.01,65.8,93.3,4721,1.5,7.1,2,106,60.7,245.1,28.7,61
"Romania",1,32.1,77.66,70.4,97.3,117000,1.29,3.8,1.5,105.9,57.5,302.6,13.3,38
"Russia",0,43.7,73.17,71.8,99.4,10120000,1.42,3.5,3.5,105.5,73.2,2300,13.6,21
"Rwanda",0,46.7,59.52,54.7,70.4,0,4.9,4.9,1.5,98.9,18.9,9.9,56.3,30
"Senegal",1,39.2,61.77,53.9,39.3,0,4.78,3.2,1.6,102.3,42.4,21.6,42.7,34
"Sierra Leone",1,42.5,58.65,54.5,35.1,28.98,4.94,1.4,2.4,100.7,38.4,4.3,12.4,19
"Singapore",0,42.5,84.96,77,92.5,10910,1.11,1,4.1,107.3,100,238.5,24.2,92
"Slovakia",1,25.8,79.93,71.6,99.6,4114,1.37,5.2,1.5,105.5,55,119.4,18.7,50
"South Africa",0,57.8,48.39,65.8,86.4,191000,2.3,3.6,1.3,101.6,61.7,492.2,42.3,49
"Spain",1,34.7,84.37,67.7,97.9,27230,1.47,6.1,1.2,106.4,77.4,1500,36,65
"Sri Lanka",1,41.1,79.38,67.2,90.7,0,2.2,2,3.6,103.7,14.3,91.9,5.8,32
"Sweden",1,25,83.51,64.8,99,4833,1.67,7.4,1.3,105.7,84.7,344.7,44.7,93
"Switzerland",1,33.7,84.05,67.8,99,3488,1.46,6.4,0.9,105.1,73.6,324.6,29,90
"Syria",0,35.8,77.21,61,79.6,400400,2.94,1.6,3.4,104.5,55.7,94.2,12,21
"Thailand",1,42.5,76.08,70.9,92.6,380000,1.66,2.7,1.5,104.6,34,519,15.8,35
"Togo",0,34.4,65.3,56,60.9,0,4.69,1.5,1.9,100.6,43.4,5.4,11.1,27
"Tunisia",0,40.8,77.17,69.3,74.3,91380,2.03,3,1.3,106.7,67.3,82.6,26.7,44
"Turkey",1,41.2,74.49,67.1,87.4,52980,2.15,3.4,2.2,104.1,69.7,1000,14.2,46
"Uganda",0,42.6,54.33,48.1,66.8,0,6.69,1.6,2.3,101.7,13.3,36.9,35,26
"Ukraine",1,27.6,74.75,70.8,99.4,99930,1.28,4,2.7,105.5,68.8,336.4,9.4,25
"United States",1,40.8,80.93,66.8,99,9056000,2.06,7.1,4.3,105.1,82.3,14200,17.8,73
"Uruguay",1,47.1,79.46,64.1,98,40110,1.89,5.9,1.3,104.7,92.5,42.5,12.1,69
"Venezuela",1,43.4,77.17,65.1,93,2472000,2.42,2.7,1.4,104.5,93.4,357.8,17,19
"Vietnam",0,37.8,74.92,69.3,90.3,300600,1.91,2.8,2.4,105.9,30.4,240.1,24.4,27
"Yemen",0,37.7,65.87,54.4,50.2,288400,4.63,1.5,4.2,103.9,31.8,55.3,0.3,23
"Zambia",0,50.7,53.63,50.8,80.6,159.5,5.98,3.6,2,101.4,35.7,17.1,11.5,28
